S1	0	50000
S2	50000	100000
S3	100000	150000
S4	150000	200000
S5	200000	250000
S6	250000	300000
S7	300000	350000
S8	350000	400000
S9	400000	450000
S10	450000	500000
S11	500000	550000
S12	550000	600000
S13	600000	650000
S14	650000	700000
S15	700000	750000
S16	750000	800000
S17	800000	850000
S18	850000	900000
S19	900000	950000
S20	950000	1000000
S21	1000000	1050000
S22	1050000	1100000
S23	1100000	1150000
S24	1150000	1200000
S25	1200000	1250000
S26	1250000	1300000
S27	1300000	1350000
S28	1350000	1400000
S29	1400000	1450000
S30	1450000	1500000
S31	1500000	1550000
S32	1550000	1600000
S33	1600000	1650000
S34	1650000	1700000
S35	1700000	1750000
S36	1750000	1800000
S37	1800000	1850000
S38	1850000	1900000
S39	1900000	1950000
S40	1950000	2000000
S41	2000000	2050000
S42	2050000	2100000
S43	2100000	2150000
S44	2150000	2200000
S45	2200000	2250000
S46	2250000	2300000
S47	2300000	2350000
S48	2350000	2400000
S49	2400000	2450000
S50	2450000	2500000
S51	2500000	2550000
S52	2550000	2600000
S53	2600000	2650000
S54	2650000	2700000
S55	2700000	2750000
S56	2750000	2800000
S57	2800000	2850000
S58	2850000	2900000
S59	2900000	2950000
S60	2950000	3000000
S61	3000000	3050000
S62	3050000	3100000
S63	3100000	3150000
S64	3150000	3200000
S65	3200000	3250000
S66	3250000	3300000
S67	3300000	3350000
S68	3350000	3400000
S69	3400000	3450000
S70	3450000	3500000
S71	3500000	3550000
S72	3550000	3600000
